rank,layer_name,onnx_node_name,tflite_tensor_idx,block_name,operator_type,semantic_category,weight_params,weight_mae,weight_rmse,weight_cosine,weight_quant_type,activation_mae,activation_rmse,activation_cosine,activation_scale,activation_zero_point,clipping_rate,sensitivity_score,recommendation
55,features/features.10/block/block.1/block.1.0/Conv,/features/features.10/block/block.1/block.1.0/Conv,297,features.10,Conv,depthwise_conv,14400,0.01021231067860059,0.01442789544164542,0.9999597092374637,per-channel,0.6460901975631714,0.8910644823312759,0.6776003402471542,0.08365601301193237,-10,0.0,0.42896792205364553,MIXED-PRECISION CANDIDATE
56,features/features.5/block/block.0/block.0.0/Conv,/features/features.5/block/block.0/block.0.0/Conv,192,features.5,Conv,expand_conv,9600,0.0005074965298961942,0.0007868230780985869,0.9999781506370969,per-channel,0.440198814868927,0.7270543193817138,0.679652333855629,0.082350954413414,15,1.8229166666666668e-05,0.4281452592469957,QAT CANDIDATE
57,features/features.7/block/block.1/block.1.2/Mul,/features/features.7/block/block.1/block.1.2/Mul,243,features.7,Mul,hardswish,0,0.0,0.0,1.0,N/A,0.41196483612060547,0.6932306385040283,0.7090138584375382,0.11816635727882385,-125,0.09425520833333334,0.42581997745831807,SELECTIVE FP16 / MIXED-PRECISION
58,features/features.7/block/block.0/block.0.0/Conv,/features/features.7/block/block.0/block.0.0/Conv,232,features.7,Conv,expand_conv,4800,0.00034512598531804883,0.0005391908066324096,0.9999765518907393,per-channel,0.4985067546367645,0.8283463668823242,0.6898384058475494,0.1054588109254837,38,2.6041666666666666e-06,0.42406958769949904,QAT CANDIDATE
59,features/features.6/block/block.2/avgpool/GlobalAveragePool,/features/features.6/block/block.2/avgpool/GlobalAveragePool,224,features.6,GlobalAveragePool,se_pool,0,0.0,0.0,1.0,N/A,0.1641965962946415,0.28093831390142443,0.7007857370376587,0.029112551361322403,-115,8.333333333333333e-05,0.41969403851826986,SELECTIVE FP16 / MIXED-PRECISION
60,features/features.3/block/block.2/block.2.0/Conv,/features/features.3/block/block.2/block.2.0/Conv,170,features.3,Conv,project_conv,2112,0.0017402516406364104,0.002497912118813027,0.9999725045435502,per-channel,0.6655534559488296,0.9646247565746308,0.7166031622886657,0.10045789927244186,11,3.255208333333333e-05,0.41336748938415696,SELECTIVE FP16 / MIXED-PRECISION
61,features/features.9/block/block.2/activation/Relu,/features/features.9/block/block.2/activation/Relu,285,features.9,Conv,se_fc1,20736,0.0011464482982216733,0.00141147719596513,0.9999378052737564,per-channel,0.3066102796792984,0.47305237501859665,0.8210732018947602,0.015184802003204823,-128,0.41583333333333333,0.41316649152067797,SELECTIVE FP16 / MIXED-PRECISION
62,features/features.8/block/block.1/block.1.0/Conv,/features/features.8/block/block.1/block.1.0/Conv,257,features.8,Conv,depthwise_conv,3600,0.010213294731522386,0.015538766545378575,0.9999591268577191,per-channel,0.5977187770605087,0.8444337785243988,0.7179044806957244,0.0961756706237793,-29,1.953125e-05,0.41284833547516636,SELECTIVE FP16 / MIXED-PRECISION
63,features/features.7/block/block.1/block.1.0/Conv,/features/features.7/block/block.1/block.1.0/Conv,238,features.7,Conv,depthwise_conv,3000,0.012454348091695768,0.02097880514898844,0.999944179035042,per-channel,0.661718693971634,0.9746487200260162,0.7192490655183792,0.17731687426567078,-41,0.0,0.41231153798563996,SELECTIVE FP16 / MIXED-PRECISION
64,features/features.9/block/block.1/block.1.0/Conv,/features/features.9/block/block.1/block.1.0/Conv,278,features.9,Conv,depthwise_conv,7200,0.0024526912753976325,0.004558474293880048,0.9999868072751431,per-channel,0.4594716128706932,0.6780620259046555,0.7267128694057464,0.09681963920593262,9,0.0,0.4093174907826728,SELECTIVE FP16 / MIXED-PRECISION
65,features/features.2/block/block.2/block.2.0/Conv,/features/features.2/block/block.2/block.2.0/Conv,167,features.2,Conv,project_conv,1728,0.001888912403429148,0.002395358593413105,0.9999602948595401,per-channel,0.8229818505048752,1.1449786281585694,0.7309536975622177,0.12651516497135162,34,0.0006998697916666667,0.40769644898237156,SELECTIVE FP16 / MIXED-PRECISION
66,features/features.6/block/block.2/activation/Relu,/features/features.6/block/block.2/activation/Relu,225,features.6,Conv,se_fc1,15360,0.0014825881831668109,0.0018774867925567173,0.9999082590636785,per-channel,0.29775097280740737,0.4369122117757797,0.83293417096138,0.0156729593873024,-128,0.3621875,0.4030634298027123,SELECTIVE FP16 / MIXED-PRECISION
67,features/features.4/block/block.0/block.0.2/Mul,/features/features.4/block/block.0/block.0.2/Mul,177,features.4,Mul,hardswish,0,0.0,0.0,1.0,N/A,0.47000801980495455,0.8357430446147919,0.7634198641777039,0.06638796627521515,-122,0.07281982421875,0.40191403675079346,SELECTIVE FP16 / MIXED-PRECISION
68,features/features.8/block/block.2/Mul,/features/features.8/block/block.2/Mul,268,features.8,Mul,se_gate,0,0.0,0.0,1.0,N/A,0.05364165551960468,0.09125447273254395,0.7466478037834168,0.010336277075111866,-92,4.340277777777778e-06,0.4013413125144111,SELECTIVE FP16 / MIXED-PRECISION
69,features/features.1/block/block.2/block.2.0/Conv,/features/features.1/block/block.2/block.2.0/Conv,163,features.1,Conv,project_conv,256,0.00619268017385366,0.007632933588136673,0.9999765325338106,per-channel,0.7163692086935043,1.1289358431100844,0.7510288274288177,0.0907554179430008,13,0.0006787109375,0.3996610336154608,SELECTIVE FP16 / MIXED-PRECISION
