Candidate,Configuration,Sparsity,Calibration Status,Test Accuracy (TFLite),Test Accuracy (ONNX),ONNX Size (Bytes),TFLite Size (Bytes),Parameter Count,Mean Latency (ms),P95 Latency (ms),FPS (Throughput),Memory Inference Delta (Bytes),Status
M0,[],0.0,READY,0.36824324324324326,0.375,3074553,1732368,1522058,7.958316000012928,10.471424999741428,125.65472393888048,1732608,SUCCESS
R1,['PRUNING'],0.01,READY,0.36824324324324326,0.375,3074553,1732376,1522058,4.3392279999898165,5.763204999993832,230.45574005384066,1732608,SUCCESS
R2,['PRUNING'],0.02,READY,0.36824324324324326,0.375,3074553,1732376,1522058,16.22912599999836,33.630144999460754,61.61761267982645,1732608,SUCCESS
